GlassID,Attrib1,Attrib2,Attrib3,Attrib4,Attrib5,Attrib6,Attrib7,Attrib8,Attrib9,Class
2,1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0,0,1
3,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,1
16,1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0,0,1
18,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0,0,1
20,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,1
22,1.51966,14.77,3.75,0.29,72.02,0.03,9,0,0,1
25,1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,1
27,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,1
37,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0,1
46,1.519,13.49,3.48,1.35,71.95,0.55,9,0,0,1
48,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,1
53,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,1
59,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,1
60,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,1
62,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0,1
65,1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,1
68,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,1
71,1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0,0.12,2
73,1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,2
74,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0,2
76,1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,2
77,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0,2
80,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,2
83,1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,2
85,1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,2
90,1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09,2
93,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0,0.19,2
100,1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0,2
102,1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0,2
108,1.53393,12.3,0,1,70.16,0.12,16.19,0,0.24,2
115,1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0,2
116,1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0,0,2
117,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,2
119,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0,0.29,2
123,1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0,2
129,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2
135,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,2
136,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0,0.28,2
138,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,2
140,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0,0,2
147,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,3
148,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0,3
152,1.52127,14.32,3.9,0.83,71.5,0,9.49,0,0,3
153,1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,3
160,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09,3
161,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,3
164,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,5
166,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0,0,5
171,1.52369,13.44,0,1.58,72.22,0.32,12.24,0,0,5
172,1.51316,13.02,0,3.04,70.48,6.21,6.96,0,0,5
177,1.51905,14,2.39,1.56,72.37,0,9.57,0,0,6
178,1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0,6
182,1.51888,14.99,0.78,1.74,72.5,0,9.95,0,0,6
183,1.51916,14.15,0,2.09,72.74,0,10.88,0,0,6
184,1.51969,14.56,0,0.56,73.48,0,11.22,0,0,6
185,1.51115,17.38,0,0.34,75.41,0,6.65,0,0,6
186,1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0,7
187,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0,7
189,1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0,0,7
191,1.51613,13.88,1.78,1.79,73.1,0,8.67,0.76,0,7
197,1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01,7
201,1.51508,15.15,0,2.25,73.5,0,8.34,0.63,0,7
204,1.51658,14.8,0,1.99,73.11,0,8.28,1.71,0,7
